Name,County,Acres,Start Date,Contained Date,Notes,Ref
Jayne,Fresno,"5,738","April 20, 2017","April 21, 2017",,[20]
Opera,Riverside,"1,350","April 30, 2017","May 2, 2017",,[21]
Elm,Fresno,"10,345","May 18, 2017","May 21, 2017",,[22]
Gate,San Diego,"2,056","May 20, 2017","May 23, 2017",,[23]
Oakwood,Madera,"1,431","June 10, 2017","June 13, 2017",,[24]
Highway,Kern,"1,522","June 18, 2017","June 28, 2017",,[25]
Holcomb,San Bernardino,"1,503","June 19, 2017","June 29, 2017",,[26]
Schaeffer,Tulare,"16,031","June 24, 2017","August 10, 2017",,[27]
Salmon August Complex,Siskiyou,"65,888","June 25, 2017","December 8, 2017",,[28][29]
Manzanita,Riverside,"6,309","June 26, 2017","June 30, 2017",,[30]
Hill,San Luis Obispo,"1,598","June 26, 2017","June 30, 2017",4 homes destroyed,[31]
Winters,Yolo,"2,269","July 6, 2017","July 12, 2017",,[32]
Alamo,San Luis Obispo,"28,687","July 6, 2017","July 19, 2017","1 home destroyed, 1 damaged",[33]
Wall,Butte,"6,033","July 7, 2017","July 17, 2017","41 homes, 48 outbuildings destroyed, 10 damaged",[34]
Whittier,Santa Barbara,"18,430","July 8, 2017","October 5, 2017","16 homes, 30 outbuildings destroyed, 7 damaged",[35]
Parkfield,Monterey,"1,816","July 8, 2017","July 11, 2017",,[36]
Garza,Fresno,"48,889","July 9, 2017","July 21, 2017",1 structure destroyed,[37]
Long Valley,Lassen,"83,733","July 11, 2017","July 21, 2017",,[38]
Detwiler,Mariposa,"81,826","July 16, 2017","August 24, 2017","63 homes, 68 structures destroyed (131 total), 21 damaged",[39]
Modoc July Complex,Modoc,"83,120","July 24, 2017","August 16, 2017",,[40]
Orleans Complex,Siskiyou,"27,276","July 25, 2017","September 26, 2017",,[41]
Empire,Mariposa,"6,370","August 1, 2017","November 27, 2017",,[42]
Parker 2,Modoc,"7,697","August 3, 2017","August 29, 2017",,[43]
Young,Siskiyou,"2,500","August 7, 2017","August 28, 2017",Merged into the Eclipse Complex's Oak fire,[44]
South Fork,Mariposa,"7,000","August 13, 2017","November 27, 2017",,[45]
Blaine,Riverside,"1,044","August 13, 2017","August 16, 2017",,[46]
Eclipse Complex,Siskiyou,"78,698","August 15, 2017","November 29, 2017",,[47]
Pier,Tulare,"36,556","August 29, 2017","November 29, 2017",,[48]
Railroad,Madera,"12,407","August 29, 2017","October 24, 2017","5 homes, 9 structures destroyed",[49]
Ponderosa,Butte,"4,016","August 29, 2017","September 9, 2017","32 homes, 22 outbuildings, 15 damaged",[50]
Mud,Lassen,"6,042","August 29, 2017","September 1, 2017",,[51]
Slinkard,Mono,"8,925","August 29, 2017","September 12, 2017",,[52]
Helena,Trinity,"21,846","August 30, 2017","November 15, 2017",133 structures destroyed,[53]
La Tuna,Los Angeles,"7,194","September 1, 2017","September 9, 2017","5 homes, 5 structures destroyed",[54]
Palmer,Riverside,"3,874","September 2, 2017","September 6, 2017",,[55]
Mission,Madera,"1,035","September 3, 2017","September 13, 2017",4 structures destroyed,[56]
Buck,Trinity,"13,417","September 12, 2017","November 20, 2017",,[57]
Lion,Tulare,"18,900","September 24, 2017","December 2, 2017",,[58]
Canyon,Riverside,"2,662","September 25, 2017","October 4, 2017",6 structures damaged,[59]
Cherokee,Butte,"8,417","October 8, 2017","October 16, 2017",,[60]
Atlas,Napa/Solano,"51,624","October 8, 2017","October 31, 2017","6 fatalities, 785 structures destroyed, 40 damaged",[61]
Tubbs,Napa/Sonoma,"36,807","October 8, 2017","October 31, 2017","22 fatalities, 1 injured, 5,643 structures destroyed",[62]
Nuns,Sonoma,"56,556","October 8, 2017","October 30, 2017","Merged with the Norrbom, Adobe, Partrick, Pressley, and Oakmont Fires. 3 fatalities, 1,200 structures destroyed",[63]
Redwood Valley Complex,Mendocino,"36,523","October 8, 2017","October 28, 2017","9 fatalities, 43 injured, 545 structures destroyed",[64][65]
La Porte,Butte,"6,151","October 9, 2017","October 18, 2017",,[66]
Cascade,Yuba,"9,989","October 9, 2017","October 18, 2017","4 fatalities, 143 residential, 123 outbuildings destroyed",[67]
Sulphur,Lake,"2,207","October 9, 2017","October 26, 2017",150 structures destroyed,[68]
Canyon 2,Orange,"9,217","October 9, 2017","October 18, 2017","25 structures destroyed, 55 structures damaged",[69]
37,Sonoma,"1,660","October 9, 2017","October 13, 2017",,[70]
Pocket,Sonoma,"17,357","October 9, 2017","October 31, 2017",,[71]
Lobo,Nevada,821,"October 9, 2017","October 18, 2017",At least 30 structures destroyed,[72]
Bear,Santa Cruz,391,"October 16, 2017","October 27, 2017","7 injuries, 4 structures destroyed",[73]
Buffalo Fire,San Diego,"1,088","October 17, 2017","November 14, 2017",,[74]
Wildomar,Riverside,866,"October 27, 2017","October 29, 2017",,[75]
Thomas,Ventura/Santa Barbara,"281,893","December 4, 2017","January 12, 2018","1,063 structures destroyed, 280 structures damaged, 2 firefighters injured, 1 firefighter and 1 civilian killed",[12][76][77][78][79]
Creek,Los Angeles,"15,619","December 5, 2017","January 9, 2018","123 buildings destroyed, 81 buildings damaged, 3 firefighters injured",[80][81][82]
Rye,Los Angeles,"6,049","December 5, 2017","December 12, 2017","6 buildings destroyed, 3 structures damaged, 1 firefighter injured",[83][12][84]
Little Mountain,San Bernardino,260,"December 5, 2017","December 7, 2017",3 injuries,[85][86][87][88]
Skirball,Los Angeles,422,"December 6, 2017","December 15, 2017","6 structures destroyed, 12 structures damaged, 3 firefighters injured",[89][90][91]
Lilac,San Diego,"4,100","December 7, 2017","December 16, 2017","157 structures destroyed, 64 structures damaged, 3 firefighters and 4 civilians injured",[92][93]
Liberty,Riverside,300,"December 7, 2017","December 9, 2017",7 structures destroyed,[94][95]